iteration,l1_loss,loss,ssim,psnr,ema_loss,ema_psnr,ema_ssim
10,0.2271852195262909,0.2575032114982605,0.6212249398231506,11.27287483215332,0.1030012845993042,"tensor(4.5092, device='cuda:0')",0.24848997592926025
20,0.13243530690670013,0.16392064094543457,0.7101380228996277,15.031904220581055,0.12736902713775636,"tensor(8.7183, device='cuda:0')",0.43314919471740726
30,0.08727043867111206,0.13186326622962952,0.689765453338623,18.459869384765625,0.1291667227745056,"tensor(12.6149, device='cuda:0')",0.5357956981658936
40,0.17547008395195007,0.20956072211265564,0.6540768146514893,13.858268737792969,0.16132432250976564,"tensor(13.1122, device='cuda:0')",0.5831081447601318
50,0.15230807662010193,0.16907620429992676,0.7638512849807739,14.867134094238281,0.16442507522583008,"tensor(13.8142, device='cuda:0')",0.6554054008483887
60,0.12759830057621002,0.1522793471813202,0.7489964365959167,15.033846855163574,0.15956678400802612,"tensor(14.3021, device='cuda:0')",0.6928418151473998
70,0.07732271403074265,0.15125741064548492,0.5530038475990295,18.865276336669922,0.15624303466300965,"tensor(16.1273, device='cuda:0')",0.6369066281280518
80,0.09118503332138062,0.12103450298309326,0.7595676183700562,18.180572509765625,0.1421596219910431,"tensor(16.9486, device='cuda:0')",0.6859710242248536
90,0.07176949083805084,0.10692733526229858,0.7524412870407104,19.769689559936523,0.12806670729954528,"tensor(18.0771, device='cuda:0')",0.7125591293511964
100,0.08346714079380035,0.1271429806947708,0.6981536746025085,18.214115142822266,0.1276972166576355,"tensor(18.1319, device='cuda:0')",0.7067969474517213
110,0.07687215507030487,0.1499016284942627,0.557980477809906,18.961854934692383,0.13657898139228639,"tensor(18.4639, device='cuda:0')",0.6472703595949951
120,0.0655784010887146,0.11022092401981354,0.7112089991569519,20.0198974609375,0.12603575844329723,"tensor(19.0863, device='cuda:0')",0.6728458154197778
130,0.05783548578619957,0.09620560705661774,0.750313937664032,20.762319564819336,0.11410369788862543,"tensor(19.7567, device='cuda:0')",0.7038330643174795
140,0.08764854073524475,0.12010516226291656,0.7500683665275574,18.527963638305664,0.11650428363834188,"tensor(19.2652, device='cuda:0')",0.7223271852015107
150,0.1288229525089264,0.15107309818267822,0.7599263191223145,15.36130142211914,0.13033180945607642,"tensor(17.7036, device='cuda:0')",0.7373668387698322
160,0.09113287925720215,0.12645000219345093,0.7322815656661987,17.81843376159668,0.1287790865510262,"tensor(17.7496, device='cuda:0')",0.7353327295283789
